ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
P220,propagation,"{""RC3H7O2"": -1, ""PFET3M2"": -1, ""C3H8O2"": 1, ""PRFET3M2"": 1}","{""RC3H7O2"": 1, ""PFET3M2"": 1, ""C3H8O2"": 1, ""PRFET3M2"": 1}",gas,2*10**8,62790-4186,FALSE
I221,initiation,"{""RADIOM2"": -1, ""PFET3M2"": -1, ""ADIOM2"": 1, ""PRFET3M2"": 1}","{""RADIOM2"": 1, ""PFET3M2"": 1, ""ADIOM2"": 1, ""PRFET3M2"": 1}",gas,2*10**8,54418-4186,FALSE
P222,propagation,"{""PRFET3M2"": 1, ""PFET3M2"": 1}","{""PRFET3M2"": 1, ""PFET3M2"": 1}",solid,2*10**8,54418-4186,FALSE
I223,initiation,"{""PRLIGH"": -1, ""PFET3M2"": -1, ""PLIGH"": 1, ""PRFET3M2"": 1}","{""PRLIGH"": 1, ""PFET3M2"": 1, ""PLIGH"": 1, ""PRFET3M2"": 1}",solid,2*10**8.5,41860-4186,FALSE
I224,initiation,"{""RLIGM2B"": -1, ""PFET3M2"": -1, ""LIGM2"": 1, ""PRFET3M2"": 1}","{""RLIGM2B"": 1, ""PFET3M2"": 1, ""LIGM2"": 1, ""PRFET3M2"": 1}",gas,2*10**8,54418-4186,FALSE
I225,initiation,"{""RLIGM2A"": -1, ""PFET3M2"": -1, ""LIGM2"": 1, ""PRFET3M2"": 1}","{""RLIGM2A"": 1, ""PFET3M2"": 1, ""LIGM2"": 1, ""PRFET3M2"": 1}",gas,2*10**8,54418-4186,FALSE
P226,propagation,"{""RCH3"": -1, ""PFET3M2"": -1, ""CH4"": 1, ""PRFET3M2"": 1}","{""RCH3"": 1, ""PFET3M2"": 1, ""CH4"": 1, ""PRFET3M2"": 1}",gas,2*10**8.5,48139-4186,FALSE
P227,propagation,"{""PRKETM2"": -1, ""PFET3M2"": -1, ""PKETM2"": 1, ""PRFET3M2"": 1}","{""PRKETM2"": 1, ""PFET3M2"": 1, ""PKETM2"": 1, ""PRFET3M2"": 1}",solid,2*10**8,54418-4186,FALSE
P228,propagation,"{""RKET"": -1, ""PFET3M2"": -1, ""KET"": 1, ""PRFET3M2"": 1}","{""RKET"": 1, ""PFET3M2"": 1, ""KET"": 1, ""PRFET3M2"": 1}",gas,2*10**8.5,54418-4186,FALSE
I229,initiation,"{""PRADIO"": -1, ""PFET3M2"": -1, ""PADIO"": 1, ""PRFET3M2"": 1}","{""PRADIO"": 1, ""PFET3M2"": 1, ""PADIO"": 1, ""PRFET3M2"": 1}",solid,2*10**8,46046-4186,FALSE
